Date:  27.10.2017 08:49:00  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  27.10.2017 08:49:01  | Error for insert log|  Exception:  
Date:  27.10.2017 08:49:09  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  27.10.2017 08:49:10  | Error for insert log|  Exception:  
Date:  27.10.2017 08:49:20  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  27.10.2017 08:49:20  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  27.10.2017 08:49:20  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  27.10.2017 08:49:20  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  27.10.2017 08:49:20  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  27.10.2017 08:49:21  | Error for insert log|  Exception:  
Date:  27.10.2017 08:49:22  | Error for insert log|  Exception:  
Date:  27.10.2017 08:49:22  | Error for insert log|  Exception:  
Date:  27.10.2017 08:49:22  | Error for insert log|  Exception:  
Date:  27.10.2017 08:49:23  | Error for insert log|  Exception:  
Date:  30.10.2017 03:02:28  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:02:29  | Error for insert log|  Exception:  
Date:  30.10.2017 03:02:32  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:02:33  | Error for insert log|  Exception:  
Date:  30.10.2017 03:02:41  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:02:41  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:02:41  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:02:41  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:02:41  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:02:42  | Error for insert log|  Exception:  
Date:  30.10.2017 03:02:42  | Error for insert log|  Exception:  
Date:  30.10.2017 03:02:42  | Error for insert log|  Exception:  
Date:  30.10.2017 03:02:42  | Error for insert log|  Exception:  
Date:  30.10.2017 03:02:42  | Error for insert log|  Exception:  
Date:  30.10.2017 03:07:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:07:56  | Error for insert log|  Exception:  
Date:  30.10.2017 03:08:15  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:08:16  | Error for insert log|  Exception:  
Date:  30.10.2017 03:11:12  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:11:13  | Error for insert log|  Exception:  
Date:  30.10.2017 03:11:33  | Invalid status|  Exception:  
Date:  30.10.2017 03:11:50  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:11:52  | Error for insert log|  Exception:  
Date:  30.10.2017 03:13:00  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:13:01  | Error for insert log|  Exception:  
Date:  30.10.2017 03:13:19  | Invalid status|  Exception:  
Date:  30.10.2017 03:13:37  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:13:37  | Error for insert log|  Exception:  
Date:  30.10.2017 03:14:08  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:14:09  | Error for insert log|  Exception:  
Date:  30.10.2017 03:14:12  | Invalid destination|  Exception:  
Date:  30.10.2017 03:14:18  | Invalid destination|  Exception:  
Date:  30.10.2017 03:14:47  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:14:49  | Error for insert log|  Exception:  
Date:  30.10.2017 03:14:54  | Invalid destination|  Exception:  
Date:  30.10.2017 03:14:58  | Invalid destination|  Exception:  
Date:  30.10.2017 03:15:13  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:15:14  | Error for insert log|  Exception:  
Date:  30.10.2017 03:15:18  | Invalid destination|  Exception:  
Date:  30.10.2017 03:15:23  | Invalid destination|  Exception:  
Date:  30.10.2017 03:15:48  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:15:49  | Error for insert log|  Exception:  
Date:  30.10.2017 03:15:51  | Invalid destination|  Exception:  
Date:  30.10.2017 03:15:54  | Invalid destination|  Exception:  
Date:  30.10.2017 03:16:14  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:16:14  | Error for insert log|  Exception:  
Date:  30.10.2017 03:16:32  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:16:33  | Error for insert log|  Exception:  
Date:  30.10.2017 03:16:45  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 03:16:46  | Error for insert log|  Exception:  
Date:  30.10.2017 04:09:59  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  30.10.2017 04:10:00  | Error for insert log|  Exception:  
Date:  03.11.2017 12:24:27  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:24:28  | Error for insert log|  Exception:  
Date:  03.11.2017 12:24:31  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:24:32  | Error for insert log|  Exception:  
Date:  03.11.2017 12:24:39  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:24:39  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:24:39  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:24:39  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:24:39  | Error for insert log|  Exception:  
Date:  03.11.2017 12:24:40  | Error for insert log|  Exception:  
Date:  03.11.2017 12:24:40  | Error for insert log|  Exception:  
Date:  03.11.2017 12:24:41  | Error for insert log|  Exception:  
Date:  03.11.2017 12:24:44  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:24:44  | Error for insert log|  Exception:  
Date:  03.11.2017 12:38:48  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:38:48  | Error for insert log|  Exception:  
Date:  03.11.2017 12:38:50  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:38:51  | Error for insert log|  Exception:  
Date:  03.11.2017 12:38:58  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:38:58  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:38:58  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:38:58  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:38:58  | Error for insert log|  Exception:  
Date:  03.11.2017 12:38:58  | Error for insert log|  Exception:  
Date:  03.11.2017 12:38:59  | Error for insert log|  Exception:  
Date:  03.11.2017 12:38:59  | Error for insert log|  Exception:  
Date:  03.11.2017 12:39:03  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:39:03  | Error for insert log|  Exception:  
Date:  03.11.2017 12:39:10  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:39:15  | Error for insert log|  Exception:  
Date:  03.11.2017 12:39:24  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:39:25  | Error for insert log|  Exception:  
Date:  03.11.2017 12:39:32  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:39:33  | Error for insert log|  Exception:  
Date:  03.11.2017 12:40:11  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:40:11  | Error for insert log|  Exception:  
Date:  03.11.2017 12:40:19  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:40:19  | Error for insert log|  Exception:  
Date:  03.11.2017 12:40:29  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:40:30  | Error for insert log|  Exception:  
Date:  03.11.2017 12:41:07  | Ocorreu um erro na instalação === |  Exception:  Property OrderState->logable is not valid
Date:  03.11.2017 12:41:08  | Error for insert log|  Exception:  
Date:  03.11.2017 12:41:10  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:41:11  | Error for insert log|  Exception:  
Date:  03.11.2017 12:45:44  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:45:47  | Error for insert log|  Exception:  
Date:  03.11.2017 12:45:49  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:45:50  | Error for insert log|  Exception:  
Date:  03.11.2017 12:45:57  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:45:57  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:10  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:13  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:48  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:49  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:56  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:46:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:57  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:58  | Error for insert log|  Exception:  
Date:  03.11.2017 12:46:59  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:00  | Error for insert log|  Exception:  
Date:  03.11.2017 12:47:04  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:05  | Error for insert log|  Exception:  
Date:  03.11.2017 12:47:18  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:18  | Error for insert log|  Exception:  
Date:  03.11.2017 12:47:24  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:24  | Error for insert log|  Exception:  
Date:  03.11.2017 12:47:50  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:51  | Error for insert log|  Exception:  
Date:  03.11.2017 12:47:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:47:57  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:58  | Error for insert log|  Exception:  
Date:  03.11.2017 12:47:59  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:47:59  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:05  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:05  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:05  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:05  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:05  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:06  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:06  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:06  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:06  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:06  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:12  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:13  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:47  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:48  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:54  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:54  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:55  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:48:55  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:55  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:48:56  | Error for insert log|  Exception:  
Date:  03.11.2017 12:49:16  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:49:17  | Error for insert log|  Exception:  
Date:  03.11.2017 12:49:21  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:49:22  | Error for insert log|  Exception:  
Date:  03.11.2017 12:49:26  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:49:27  | Error for insert log|  Exception:  
Date:  03.11.2017 12:49:33  | INSTALAÇAO|  Exception:  VAI REALIZAR A INSTALAÇAO __construct == 
Date:  03.11.2017 12:49:33  | Error for insert log|  Exception:  
